#{"t_start": 1774434845.6950881, "env_id": "None"}
r,l,t
-15.0,100,170.524981
-8.0,100,171.177484
-80.0,100,171.821945
-16.0,100,172.474877
-12.0,100,173.114945
-13.0,100,173.700926
-4.0,100,174.281736
-7.0,100,174.868019
-29.0,100,175.459971
-19.0,100,176.034424
-8.0,100,176.614219
-21.0,100,177.204672
-14.0,100,177.810371
-19.0,100,178.386169
-22.0,100,178.962909
-12.0,100,179.537257
-24.0,100,180.117832
-10.0,100,180.697255
-27.0,100,181.27646
-8.0,100,181.84785
-18.0,100,182.424315
-21.0,100,183.009834
-30.0,100,183.606674
-5.0,100,184.18063
-25.0,100,184.757026
-16.0,100,185.341887
-7.0,100,185.913969
-29.0,100,186.489014
-21.0,100,187.079497
-32.0,100,187.66148
-19.0,100,188.369486
-18.0,100,188.946955
-4.0,100,189.545302
-14.0,100,190.209632
-14.0,100,190.863444
-21.0,100,191.505002
-9.0,100,192.158199
-25.0,100,195.295506
-5.0,100,196.004316
-18.0,100,196.675293
-12.0,100,197.319996
-11.0,100,197.913874
-9.0,100,198.48896
-28.0,100,199.06079
-18.0,100,199.64889
-25.0,100,200.384347
-14.0,100,201.061929
-21.0,100,201.649716
-14.0,100,202.247773
-18.0,100,202.830013
-5.0,100,203.407674
-14.0,100,203.985724
-27.0,100,204.586647
-16.0,100,205.294136
-11.0,100,205.929978
-8.0,100,206.59045
-17.0,100,207.190631
-72.0,100,207.833738
-29.0,100,208.501608
-4.0,100,209.12479
-5.0,100,209.952697
-13.0,100,210.70684
-29.0,100,211.383166
-6.0,100,211.980549
-29.0,100,212.735324
-17.0,100,213.543108
-15.0,100,214.375488
-14.0,100,215.095629
-24.0,100,215.896545
-24.0,100,216.593789
-100.0,100,217.325434
-18.0,100,217.966622
-9.0,100,218.587129
-7.0,100,219.168575
-29.0,100,219.746856
-19.0,100,220.3422
-22.0,100,221.117997
-23.0,100,221.843767
-27.0,100,222.536099
-100.0,100,223.149558
-12.0,100,223.744582
-11.0,100,224.414804
-7.0,100,225.038836
-25.0,100,225.661042
-25.0,100,226.263799
-26.0,100,226.868906
-13.0,100,227.479505
-5.0,100,230.500756
-18.0,100,231.158767
-53.0,100,231.800441
-35.0,100,232.386682
-5.0,100,232.980213
-52.0,100,233.598392
-18.0,100,234.171749
-6.0,100,234.745262
-11.0,100,235.318625
-11.0,100,235.896205
-8.0,100,236.475404
-7.0,100,237.051629
-16.0,100,237.67145
-15.0,100,238.273671
-10.0,100,238.845945
-15.0,100,239.49213
-22.0,100,240.12773
-31.0,100,240.777971
-20.0,100,241.373225
-16.0,100,241.951141
-13.0,100,242.589094
-8.0,100,243.172258
-10.0,100,243.76316
-9.0,100,244.377608
-21.0,100,245.01033
-14.0,100,245.609601
-9.0,100,246.198372
-16.0,100,246.791643
-14.0,100,247.365069
-7.0,100,247.936635
-26.0,100,248.520197
-14.0,100,249.096692
-22.0,100,249.659853
-45.0,100,250.227925
-25.0,100,250.795882
-5.0,100,251.384414
-39.0,100,252.102522
-9.0,100,252.686742
-24.0,100,253.262417
-10.0,100,253.834876
-16.0,100,254.415054
-5.0,100,255.050852
-21.0,100,255.64905
-10.0,100,256.224578
-27.0,100,256.854348
-9.0,100,257.493854
-26.0,100,258.140924
-9.0,100,258.71446
-4.0,100,259.307411
-6.0,100,259.886137
-7.0,100,262.86214
-26.0,100,263.450199
-15.0,100,264.03105
-20.0,100,264.59792
-7.0,100,265.187517
-24.0,100,265.761541
-9.0,100,266.343586
-17.0,100,266.953886
-5.0,100,267.637268
-8.0,100,268.231652
-22.0,100,268.881375
-24.0,100,269.452424
-29.0,100,270.063535
-32.0,100,270.629699
-6.0,100,271.193361
-19.0,100,271.76365
-9.0,100,272.333077
-7.0,100,272.897461
-29.0,100,273.460297
-15.0,100,274.114682
-25.0,100,274.680022
-30.0,100,275.257281
-11.0,100,275.876994
-3.0,100,276.450525
-15.0,100,277.017525
-4.0,100,277.582407
-22.0,100,278.164401
-8.0,100,278.734914
-47.0,100,279.301084
-18.0,100,279.875176
-14.0,100,280.442059
-24.0,100,281.005545
-28.0,100,281.571088
-7.0,100,282.134699
-6.0,100,282.791164
-22.0,100,283.761217
-25.0,100,284.428406
-16.0,100,285.033115
-21.0,100,285.598005
-26.0,100,286.16117
-6.0,100,286.726618
-20.0,100,287.293535
-9.0,100,287.877169
-17.0,100,288.471602
-19.0,100,289.125833
-5.0,100,289.769643
-10.0,100,290.364056
-14.0,100,290.928634
-14.0,100,291.497064
-5.0,100,292.069833
-15.0,100,294.923304
-7.0,100,295.504253
-13.0,100,296.102018
-17.0,100,296.686876
-17.0,100,297.268896
-20.0,100,297.847367
-22.0,100,298.422165
-9.0,100,298.99424
-27.0,100,299.563353
-23.0,100,300.134522
-21.0,100,300.70165
-26.0,100,301.38579
-12.0,100,301.95316
-18.0,100,302.518196
-13.0,100,303.087168
-13.0,100,303.652812
-4.0,100,304.222793
-19.0,100,304.796935
-3.0,100,305.37744
-14.0,100,305.946484
-25.0,100,306.520011
-16.0,100,307.083988
-20.0,100,307.673708
-10.0,100,308.243643
-4.0,100,308.81001
-14.0,100,309.375653
