#{"t_start": 1774436250.088494, "env_id": "None"}
r,l,t
-6.0,100,179.158024
-22.0,100,179.873052
-15.0,100,180.537029
-8.0,100,181.230649
-8.0,100,181.991191
-3.0,100,182.675637
-4.0,100,183.436334
-28.0,100,184.27098
-12.0,100,184.969165
-6.0,100,185.627479
-17.0,100,186.275253
-10.0,100,186.885063
-13.0,100,187.51918
-61.0,100,188.159703
-8.0,100,188.778566
-79.0,100,189.397683
-8.0,100,190.102546
-18.0,100,190.792047
-6.0,100,191.463352
-3.0,100,192.152261
-17.0,100,192.871965
-20.0,100,193.521068
-4.0,100,194.316795
-22.0,100,194.991472
-12.0,100,195.626398
-6.0,100,196.291563
-18.0,100,196.956135
-28.0,100,197.579472
-23.0,100,198.197351
-14.0,100,198.856576
-22.0,100,199.515195
-4.0,100,200.164823
-18.0,100,200.788524
-12.0,100,201.429977
-16.0,100,202.067676
-7.0,100,202.721564
-17.0,100,205.936203
-3.0,100,206.611152
-12.0,100,207.339219
-9.0,100,207.9976
-8.0,100,208.621853
-17.0,100,209.226821
-22.0,100,209.835503
-13.0,100,210.516664
-18.0,100,211.133416
-9.0,100,211.75308
-13.0,100,212.386814
-10.0,100,213.0086
-17.0,100,213.636894
-4.0,100,214.372159
-13.0,100,215.133316
-21.0,100,215.797018
-14.0,100,216.46579
-8.0,100,217.147373
-6.0,100,217.775815
-29.0,100,218.44616
-32.0,100,219.127959
-22.0,100,219.881905
-12.0,100,220.5742
-3.0,100,221.236872
-27.0,100,221.889455
-24.0,100,222.531416
-6.0,100,223.345694
-29.0,100,224.034056
-14.0,100,224.684141
-15.0,100,225.375083
-13.0,100,226.091874
-21.0,100,226.800047
-15.0,100,227.493917
-18.0,100,228.154894
-15.0,100,228.883277
-24.0,100,229.557757
-5.0,100,230.224427
-25.0,100,231.022949
-17.0,100,231.729516
-12.0,100,232.455382
-19.0,100,233.174919
-22.0,100,233.862654
-5.0,100,234.497572
-9.0,100,235.19387
-9.0,100,235.862914
-5.0,100,236.544244
-17.0,100,237.186937
-32.0,100,237.822512
-22.0,100,238.428578
-12.0,100,239.098752
-11.0,100,242.330054
-14.0,100,243.084631
-23.0,100,243.867499
-18.0,100,244.568934
-4.0,100,245.315325
-13.0,100,245.959795
-15.0,100,246.602542
-3.0,100,247.250948
-10.0,100,247.87758
-9.0,100,248.488563
-15.0,100,249.113216
-5.0,100,249.748661
-12.0,100,250.52303
-20.0,100,251.19945
-8.0,100,251.948087
-14.0,100,252.642546
-20.0,100,253.591322
-19.0,100,254.305386
-14.0,100,255.00006
-8.0,100,255.826928
-10.0,100,256.493943
-6.0,100,257.138851
-13.0,100,257.861958
-6.0,100,258.96841
-33.0,100,259.709207
-9.0,100,260.493821
-14.0,100,261.183443
-13.0,100,261.876096
-39.0,100,262.529817
-10.0,100,263.261226
-20.0,100,264.021574
-12.0,100,264.748919
-15.0,100,265.368664
-19.0,100,266.026771
-21.0,100,266.730798
-2.0,100,267.37734
-16.0,100,268.041958
-6.0,100,268.695876
-18.0,100,269.501003
-9.0,100,270.120329
-12.0,100,270.890407
-7.0,100,271.630984
-17.0,100,272.374044
-6.0,100,273.183656
-20.0,100,273.868419
-6.0,100,274.556356
-19.0,100,275.242799
-7.0,100,275.999998
-4.0,100,276.658301
-4.0,100,277.304921
-10.0,100,280.441562
-15.0,100,281.078105
-14.0,100,281.698268
-22.0,100,282.36282
-6.0,100,283.241888
-39.0,100,283.999896
-8.0,100,284.762785
-13.0,100,285.445243
-3.0,100,286.144752
-6.0,100,286.923284
-7.0,100,287.592467
-14.0,100,288.336352
-22.0,100,289.068243
-15.0,100,289.889213
-5.0,100,290.623032
-18.0,100,291.403385
