#{"t_start": 1774437969.531529, "env_id": "None"}
r,l,t
-4.0,100,176.093593
-9.0,100,176.673526
-8.0,100,177.273779
-5.0,100,177.968097
-6.0,100,178.598114
-3.0,100,179.180796
-3.0,100,179.761414
-16.0,100,180.347667
-6.0,100,180.980976
-4.0,100,181.574344
-10.0,100,182.280598
-6.0,100,182.894868
-6.0,100,183.493132
-6.0,100,184.071769
-6.0,100,184.704363
-11.0,100,185.302995
-5.0,100,185.915931
-18.0,100,186.505334
-3.0,100,187.094432
-3.0,100,187.702317
-9.0,100,188.291623
-11.0,100,188.875176
-4.0,100,189.453612
-10.0,100,190.042129
-5.0,100,190.625596
-4.0,100,191.214771
-8.0,100,191.803684
-11.0,100,192.382703
-100.0,100,192.961842
-9.0,100,193.53594
-6.0,100,194.131609
-3.0,100,194.716835
-6.0,100,195.29673
-5.0,100,195.869712
-6.0,100,196.453575
-5.0,100,197.027118
-62.0,100,199.826844
-3.0,100,200.416325
-8.0,100,201.005489
-4.0,100,201.585762
-4.0,100,202.167729
-4.0,100,202.744984
-100.0,100,203.339049
-8.0,100,203.917389
-9.0,100,204.497224
-6.0,100,205.083378
-9.0,100,205.663043
-5.0,100,206.240901
-8.0,100,206.820131
-7.0,100,207.39731
-5.0,100,207.975664
-20.0,100,208.552565
-8.0,100,209.125805
-5.0,100,209.703416
-3.0,100,210.281846
-6.0,100,210.857712
-9.0,100,211.439362
-10.0,100,212.021712
-3.0,100,212.600131
-3.0,100,213.179488
-6.0,100,213.763119
-9.0,100,214.340675
-4.0,100,214.917555
-13.0,100,215.502096
-9.0,100,216.085083
-8.0,100,216.664856
-6.0,100,217.244246
-9.0,100,217.827009
-8.0,100,218.407902
-7.0,100,218.988098
-13.0,100,219.569464
-5.0,100,220.158533
-3.0,100,220.739485
-12.0,100,221.319345
-22.0,100,221.901073
-7.0,100,222.481838
-9.0,100,223.062558
-9.0,100,223.710289
-3.0,100,224.344442
-5.0,100,224.925962
-5.0,100,225.507436
-3.0,100,226.08208
-9.0,100,226.659336
-12.0,100,227.235279
-12.0,100,227.810659
-7.0,100,228.387121
-3.0,100,231.20889
-7.0,100,231.800239
-13.0,100,232.385586
-10.0,100,232.970542
-3.0,100,233.546268
-7.0,100,234.122455
-9.0,100,234.701518
-3.0,100,235.282876
-5.0,100,235.867073
-4.0,100,236.445863
-5.0,100,237.056204
-4.0,100,237.638668
-7.0,100,238.221193
-25.0,100,238.803691
-4.0,100,239.390034
-7.0,100,239.97161
-8.0,100,240.55877
-7.0,100,241.142977
-7.0,100,241.72509
-5.0,100,242.30585
-5.0,100,242.886052
-4.0,100,243.468564
-5.0,100,244.052313
-4.0,100,244.631546
-10.0,100,245.22237
-6.0,100,245.798423
-3.0,100,246.375999
-6.0,100,246.950155
-7.0,100,247.526047
-3.0,100,248.101454
-7.0,100,248.676667
-6.0,100,249.253742
-8.0,100,249.846519
-11.0,100,250.45461
-9.0,100,251.035328
-6.0,100,251.611296
-9.0,100,252.187657
-4.0,100,252.762133
-8.0,100,253.338373
-5.0,100,253.918523
-5.0,100,254.494495
-2.0,100,255.077408
-7.0,100,255.655956
-4.0,100,256.237679
-10.0,100,256.813845
-4.0,100,257.389717
-11.0,100,257.969074
-4.0,100,258.546394
-2.0,100,259.121183
-3.0,100,259.715595
-3.0,100,262.522971
-8.0,100,263.120257
-7.0,100,263.699047
-8.0,100,264.281858
-6.0,100,264.859952
-13.0,100,265.441608
-5.0,100,266.016362
-5.0,100,266.594427
-3.0,100,267.171337
-3.0,100,267.754301
-4.0,100,268.354355
-8.0,100,268.939281
-9.0,100,269.537314
-8.0,100,270.125732
-3.0,100,270.710903
-9.0,100,271.293594
-4.0,100,271.909144
-3.0,100,272.499508
-12.0,100,273.084568
-6.0,100,273.669172
-100.0,100,274.252733
-100.0,100,274.83778
-6.0,100,275.431187
-2.0,100,276.010164
-7.0,100,276.587779
-3.0,100,277.168611
-22.0,100,277.75004
-4.0,100,278.332275
-4.0,100,278.914335
-7.0,100,279.500621
-6.0,100,280.088792
-12.0,100,280.672781
-11.0,100,281.255677
-3.0,100,281.840803
-3.0,100,282.422172
-100.0,100,283.00505
-12.0,100,283.590466
-5.0,100,284.187177
-15.0,100,284.817293
-8.0,100,285.404581
-3.0,100,285.986507
-8.0,100,286.574422
-5.0,100,287.225871
-7.0,100,288.190629
-7.0,100,288.839858
-3.0,100,289.439574
-4.0,100,290.16936
-6.0,100,290.762498
-8.0,100,291.354886
-3.0,100,291.943317
-7.0,100,294.887527
-3.0,100,295.538708
-7.0,100,296.132019
-8.0,100,296.720071
-7.0,100,297.305123
-8.0,100,297.920893
-31.0,100,298.527659
-3.0,100,299.18841
-12.0,100,300.00625
-8.0,100,300.657321
-14.0,100,301.427911
-15.0,100,303.229455
-8.0,100,303.963409
-8.0,100,304.694104
-6.0,100,305.447565
-6.0,100,306.156269
-3.0,100,306.863695
-5.0,100,307.58162
-2.0,100,308.390262
-5.0,100,309.142784
-42.0,100,309.909653
-7.0,100,310.671066
-9.0,100,311.432083
-4.0,100,312.151686
-2.0,100,312.879905
-7.0,100,313.631772
-10.0,100,314.362357
-8.0,100,315.071321
-7.0,100,315.77344
-8.0,100,316.509623
-99.0,100,317.236509
-27.0,100,317.995118
-3.0,100,319.169766
-5.0,100,320.069484
-2.0,100,320.953341
-7.0,100,321.803886
-6.0,100,322.628953
-11.0,100,323.483004
-5.0,100,324.157194
-8.0,100,324.940283
-3.0,100,325.754723
-3.0,100,326.394149
-6.0,100,326.987889
-5.0,100,327.561567
-10.0,100,328.169409
-9.0,100,328.756306
-5.0,100,329.366379
-2.0,100,330.013718
-4.0,100,330.695135
-6.0,100,331.299631
-8.0,100,334.206479
-5.0,100,334.795938
-3.0,100,335.377677
-8.0,100,335.952654
-2.0,100,336.530352
-6.0,100,337.109633
-7.0,100,337.685455
-6.0,100,338.334482
-8.0,100,339.018284
-6.0,100,339.601267
-10.0,100,340.295074
